hospcode,SUM of total_result,SUM of total_target,provcode
23771,30056,4488,
23839,63076,12337,
23962,40347,4338,
24032,9292,1707,
24060,64052,11594,
24673,14405,2177,
24678,10961,2597,
24689,30873,4244,
24692,6169,1378,
24704,11072,1325,
24746,2980,219,
24821,7837,1180,
24956,3028,869,
25017,371,129,
25058,4159,1224,
25059,4914,1069,
27443,7862,973,
27839,4759,896,
27840,4461,1080,
27841,13363,1928,
27842,11908,2833,
27843,10333,2690,
27844,9946,2453,
27967,3832,792,
27968,4828,1443,
27974,2831,990,
27976,2988,769,
27988,2805,1048,
27989,484,341,
27990,4098,1030,
28005,14718,2595,
28006,5979,1415,
28010,4833,866,
28014,7390,1765,
28015,3445,1046,
28016,3790,924,
28017,10711,2155,
28020,7321,2097,
28778,3801,1080,
28785,5079,804,
28786,19867,2495,
28789,12394,1754,
28790,1016,100,
28791,7422,1503,
28811,6747,1365,
28815,14290,2409,
28817,4643,1222,
28843,4565,917,
28849,12818,2031,
28850,12069,1806,
28858,5216,1472,
28861,5291,1613,
28875,8177,1027,
31327,8671,1321,
40491,5044,1169,
40492,9625,1415,
40742,4381,416,
40743,8676,1424,
40749,528,93,
40840,2934,776,
40915,456,19,
41347,3330,572,
41374,48,2,
41429,10713,584,
41436,26128,3483,
41509,18688,2992,
41701,3914,1160,
41768,1298,124,
77471,14222,2734,
77650,32,2,
77753,2657,413,
Grand Total,33817599,5619776,
