id,hospcode,areacode,flag_sent,date_com,b_year,type_13,uc,sso,ofc,osm,ageing,child,disab,home,village,school,student,childcenter,caregiver,osk,opd,opd_visit,opd_pt,opd_pt_visit,ip
"8ec43f9ee8a5b450912a021b7b914f7e","03756","34200508","0","202206271409","2565","1720","1072","15","19","40","296","114","19",686,5,2,0,0,0,0,2442,9383,1211,3023,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","28828","34152006","0","202206271409","2565","3661","2512","426","187","81","590","328","59",2014,10,7,0,0,0,0,3912,14255,1123,2582,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03727","34152003","0","202206271409","2565","2957","2065","427","134","65","473","170","94",0,0,0,0,0,0,0,3126,11817,1005,2826,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03752","34200201","0","202206271409","2565","3321","1990","9","42","78","516","228","21",976,8,3,0,4,0,0,3226,13633,1181,3464,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","10957","34200102","0","202206271409","2565","3046","1284","51","80","93","794","230","61",1233,11,4,0,2,0,0,17440,54882,9296,23401,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03751","34200104","0","202206271409","2565","2317","1319","13","60","65","528","165","94",667,5,3,0,0,0,0,2413,10685,676,3098,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03739","34190704","0","202206271409","2565","2242","1041","24","164","67","390","192","19",873,4,2,0,2,0,0,1990,4764,289,752,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03748","34191808","0","202206271409","2565","3536","2245","110","80","105","607","304","36",1294,9,4,0,4,0,0,3508,10776,1099,2343,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03670","34111107","0","202206271409","2565","2228","1613","31","35","56","386","180","36",754,6,3,0,0,0,0,2601,9397,841,2446,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","10948","34080111","0","202206271409","2565","11803","7464","336","530","0","1856","415","37",4657,14,6,0,5,0,0,32424,94316,16870,36850,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","10958","34210111","0","202206271409","2565","4705","2962","105","483","91","991","356","65",2332,13,5,0,3,0,0,24455,75862,12330,31746,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03625","34080115","0","202206271409","2565","2348","1567","46","48","50","303","189","56",722,3,2,0,2,0,0,2792,10231,1187,3735,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03599","34070210","0","202206271409","2565","6431","4079","165","374","165","1161","423","93",1781,12,7,0,3,0,0,7660,23791,1788,4525,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03743","34191102","0","202206271409","2565","8551","4497","24","347","135","1408","544","194",2083,21,4,0,4,0,0,6130,16732,861,3934,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03745","34191302","0","202206271409","2565","4905","3597","453","267","138","941","355","86",1600,10,7,0,4,0,0,5685,19962,1415,5153,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03747","34191402","0","202206271409","2565","5496","3040","126","301","175","1122","360","54",2183,12,5,0,0,0,0,6534,18956,1165,4366,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03721","34151004","0","202206271409","2565","3166","2056","368","187","65","491","181","12",961,4,1,0,0,0,0,3308,7704,464,1042,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","15078","34152200","0","202206271409","2565","7","0","0","1","0","1","0","0",7,3,1,0,0,0,0,0,0,0,0,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03729","34152203","0","202206271409","2565","5633","3838","870","383","115","937","294","134",1611,11,2,0,0,0,0,5894,17733,1274,3456,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03742","34191001","0","202206271409","2565","8341","4385","81","285","241","1517","613","92",3149,50,7,0,5,0,0,7170,22815,2013,4571,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03760","34210206","0","202206271409","2565","2235","1690","137","129","56","479","141","110",695,7,2,0,3,0,0,2902,9390,880,2158,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03762","34210305","0","202206271409","2565","2397","1696","35","71","61","413","179","74",763,5,3,0,1,1,0,2687,8527,775,1722,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03740","34190903","0","202206271409","2565","2397","1473","52","101","83","564","180","58",1137,7,4,0,0,0,0,2799,9350,1123,2782,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03738","34190702","0","202206271409","2565","4438","3161","495","170","111","826","257","338",1587,9,5,0,2,0,0,4504,14102,882,2785,"203.157.102.134"
"8ec43f9ee8a5b450912a021b7b914f7e","03736","34190601","0","202206271409","2565","5052","2955","804","160","95","806","326","18",1531,7,4,0,0,0,0,4393,12860,1148,3000,"203.157.102.134"
